
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
ABBEY HEALTHCARE GROUP INC                                                      	NASDAQ	Jun-95	ABBY
ABBEY RENTS                                                                     	AMEX	May-67	ABB
ABCO ICE CREAM INC                                                              	NASDAQ	Nov-90	LARY
ABERCROMBIE & FITCH CO                                                          	NASDAQ	May-74	n/a
ABERDEEN MANUFACTURING CORP                                                     	AMEX	Nov-79	AMC
ABERDEEN PETROLEUM CORP                                                         	AMEX	May-76	APT
ABEX CORP                                                                       	NYSE	Dec-68	ABK
ABEX INC                                                                        	NYSE	Jun-95	ABE
Abgenix, Inc.                                                                   	NASDAQ	Mar-06	ABGX
ABINGTON BANCORP INC NEW                                                        	NASDAQ	Apr-04	ABBK
ABITIBI PWR & PAPER LTD                                                         	NYSE	Aug-32	n/a
Able Laboratories Inc.                                                          	NASDAQ	Aug-05	ABRX
Able Laboratories Inc.                                                          	NASDAQ	Aug-05	ABRXQ
ABLE TELECOM HOLDING CORP                                                       	NASDAQ	Oct-00	ABTE
ABOUT COM INC                                                                   	NASDAQ	Feb-01	BOUT
ABOVE TECHNOLOGIES INC                                                          	NASDAQ	Jul-91	ABVE
ABOVENET COMMUNICATIONS INC                                                     	NASDAQ	Sep-99	ABOV
ABRAHAM & STRAUSS INC                                                           	NYSE	Dec-49	n/a
ABRAHAM LINCOLN FED SVGS BK DRES                                                	NASDAQ	Jul-91	ALFB
Abrams Industries, Inc.                                                         	NASDAQ	Jul-06	ABRI
ABSOLUTE ENTERTAINMENT INC                                                      	NASDAQ	Oct-94	ABSO
ACA JOE                                                                         	NASDAQ	Apr-88	ACAJ
ACA JOE EASTN LTD                                                               	NASDAQ	Jan-87	AJOE
ACA JOE INTERCON LTD                                                            	NASDAQ	Jan-87	AJIL
ACACIA RESEARCH CORP                                                            	NASDAQ	Dec-02	ACRI
ACADEMY INSURANCE GROUP INC                                                     	NASDAQ	Mar-91	ACIG
ACADIA PETROLEUM CORP                                                           	NASDAQ	Dec-83	ACAD
ACADIANA BANCSHARES INC LA NEW                                                  	AMEX	Feb-03	ANA
ACAP CORP                                                                       	NASDAQ	Jul-92	ACAP
ACAPULCO RESTAURANTS                                                            	NASDAQ	Feb-86	ALAR
ACCEL INTERNATIONAL CORP                                                        	NASDAQ	Dec-99	ACLE
ACCELERATORS INC                                                                	NASDAQ	Dec-79	n/a
ACCELGRAPHICS INC                                                               	NASDAQ	Jun-98	ACCL
ACCELIO CORP                                                                    	NASDAQ	Apr-02	ACLO
ACCENT COLOR SCIENCES INC                                                       	NASDAQ	Mar-99	ACLR
ACCENT SOFTWARE INTL LTD                                                        	NASDAQ	Mar-99	ACNTF
ACCEPTANCE INSURANCE COS INC                                                    	NYSE	Nov-02	AIF
ACCEPTANCE INSURANCE HLDG INC                                                   	NASDAQ	Apr-90	ACPT
Access Anytime Bancorp, Inc.                                                    	NASDAQ	Jan-06	AABC
ACCESS BEYOND INC                                                               	NASDAQ	Dec-97	ACCB
ACCESS HEALTH INC                                                               	NASDAQ	Dec-98	ACCS
ACCESS HEALTHNET INC                                                            	NASDAQ	Jan-96	AHNT
Access Integrated Technologies, Inc.                                            	AMEX	Apr-06	AIX
Access Pharmaceuticals, Inc.                                                    	AMEX	Jan-06	AKC
ACCESS SOLUTIONS INTL INC                                                       	NASDAQ	Aug-98	ASIC
ACCESS WORLDWIDE COMM INC                                                       	NASDAQ	Jul-01	AWWC
Accessity Corporation                                                           	NASDAQ	Mar-05	ACTY
ACCLAIM ENTERTAINMENT INC                                                       	NASDAQ	Aug-04	AKLM
ACCO WORLD CORP                                                                 	NYSE	Aug-87	ACO
ACCOM INC                                                                       	NASDAQ	Jul-98	ACMM
ACCORD NETWORKS LTD                                                             	NASDAQ	Feb-01	ACCD
Accredo Health, Incorporated                                                    	NASDAQ	Aug-05	ACDO
ACCRUE SOFTWARE INC                                                             	NASDAQ	Sep-02	ACRU
ACCUGRAPH CORP                                                                  	NASDAQ	Jan-90	ACUAF
ACCUGRAPH CORP                                                                  	NASDAQ	Jun-98	ACCUF
ACCUHEALTH INC                                                                  	NASDAQ	Feb-93	ACCU
ACCUMED INTERNATIONAL INC                                                       	NASDAQ	Nov-00	ACMI
ACCURAY CORP                                                                    	NASDAQ	Mar-87	ACRA
ACE INDUSTRIES INC                                                              	NASDAQ	Jun-73	n/a
Ace Ltd.                                                                        	NYSE	Dec-05	ACE-A
ACKERLEY GROUP INC                                                              	NYSE	Jun-02	AK
Aclara Biosciences                                                              	NASDAQ	Dec-04	ACLA
ACMAT CORP                                                                      	NASDAQ	Sep-95	ACMT
ACMAT Corporation                                                               	NASDAQ	Dec-05	ACMT
ACMAT Corporation Cl A                                                          	NASDAQ	Dec-04	ACMTA
ACME CLEVELAND CORP NEW                                                         	NYSE	Jul-96	AMT
ACME ELECTRIC CORP                                                              	NASDAQ	Nov-00	ACEE
ACME GENERAL CORP                                                               	NASDAQ	Jun-85	ACME
ACME HAMILTON MFG CORP                                                          	AMEX	Jan-78	ACE
ACME METALS INC                                                                 	NYSE	Sep-98	AMI
ACME MISSILES & CONSTR CORP                                                     	AMEX	Apr-67	AMI
ACME PRECISION PRODS INC DEL                                                    	AMEX	Jul-88	ACL
ACME STL CO                                                                     	NYSE	Dec-64	ACO
ACME WIRE CO                                                                    	AMEX	May-64	AWE
ACNIELSEN CORP                                                                  	NYSE	Feb-01	ART
ACORDIA INC                                                                     	NYSE	Jul-97	ACO
ACORN HOLDING CORP                                                              	NASDAQ	Mar-03	AVCC
ACORN PRODUCTS INC                                                              	NASDAQ	May-03	ACRN
ACQUA GROUP INC                                                                 	NASDAQ	Jan-92	ACQA
ACRES GAMING INC                                                                	NASDAQ	Oct-03	AGAM
ACRO ENERGY CORP                                                                	NASDAQ	Oct-86	ACRO
ACROBE AUTOMATION TECHNOLOGY                                                    	NASDAQ	Aug-87	ACRB
ACRODYNE COMMUNICATIONS INC                                                     	NASDAQ	Aug-00	ACRO
ACSYS INC                                                                       	AMEX	Jul-00	AYS
ACT Teleconferencing, Inc.                                                      	NASDAQ	Nov-05	ACTT
ACTERNA CORP                                                                    	NASDAQ	Jan-03	ACTR
ACTION AUTO RENTAL INC                                                          	NASDAQ	Oct-92	AXXN
ACTION AUTO STORES INC                                                          	NASDAQ	Sep-90	AAST
ACTION INDUSTRIES INC                                                           	AMEX	Oct-96	ACZ
Action Performance Companies, Inc.                                              	NYSE	Dec-05	ATN
ACTION SAVINGS BK SLA NJ                                                        	NASDAQ	Nov-90	ANSL
ACTION STAFFING INC                                                             	NASDAQ	May-92	ACTS
ACTIVCARD S A                                                                   	NASDAQ	Feb-03	ACTI
ACTIVE I Q TECHNOLOGIES INC                                                     	NASDAQ	Mar-03	AIQT
ACTIVE SOFTWARE INC                                                             	NASDAQ	Aug-00	ASWX
ACTIVE VOICE CORPORATION                                                        	NASDAQ	Feb-01	ACVC
ACTIVEWORLDS CORP                                                               	NASDAQ	Jul-02	AWLD
ACTMEDIA INC                                                                    	NASDAQ	Jul-89	ACTM
ACTRADE FINANCIAL TECHS LTD                                                     	NASDAQ	Aug-02	ACRT
ACUITY IMAGING INC                                                              	NASDAQ	Sep-95	ACUT
ACUSHNET CO                                                                     	NASDAQ	Jun-76	ACSH
ACUSON CORP                                                                     	NYSE	Nov-00	ACN
AD MAR RESH INC                                                                 	NASDAQ	Dec-73	n/a
AD PRESS LTD                                                                    	NASDAQ	Jan-74	n/a
ADAC LABORATORIES INC                                                           	NASDAQ	Dec-00	ADAC
ADAMS DRUG INC                                                                  	NYSE	Nov-84	ADG
ADAMS GOLF INC                                                                  	NASDAQ	May-03	ADGO
ADAMS INTERNATIONAL METALS CORP                                                 	NASDAQ	Aug-87	AIMX
ADAMS MILLIS CORP                                                               	NYSE	Oct-88	ALL
ADAMS RES & ENERGY INC                                                          	NYSE	Dec-05	AE
ADAMS RUSSELL CO                                                                	AMEX	Jan-88	AAR
ADAMS RUSSELL INC                                                               	AMEX	Jul-89	AEI
ADAPTIVE BROADBAND CORP                                                         	NASDAQ	May-01	ADAP
ADAPTIVE SOLUTIONS INC                                                          	NASDAQ	Oct-98	ADSO
ADATOM COM INC                                                                  	NASDAQ	Dec-00	ADTM
ADC Telecommunications Inc.                                                     	NASDAQ	Jun-05	ADCTD
ADCOR ELECTRONICS INC                                                           	NASDAQ	Dec-86	ADCR
